CONTROL,JJOBCOMP,JJOBCOMPYR,JJOBCOST,JJOBDIY,JJOBFUNDS,JJOBTYPE,JJOBWORKYR,JOBTYPE,JOBDIY,JOBCOST,JOBCOMP,JOBCOMPYR,JOBWORKYR,JOBFUNDS
'11000005','0','0','0','0','0','0','0','12','2',52000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','13','2',30000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','18','2',3000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','22','2',1000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','23','2',3000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','25','2',5000,'1','2','-6','1'
'11000005','0','0','0','0','0','0','0','29','1',2000,'1','2','-6','1'
'11000013','0','0','0','0','0','0','0','26','2',10000,'1','3','-6','1'
'11000015','0','0','0','0','0','0','0','16','2',300,'1','3','-6','1'
'11000015','0','0','0','0','0','0','0','18','2',8000,'1','2','-6','7'
'11000024','0','0','0','0','0','0','0','25','2',500,'1','1','-6','1'
'11000024','0','0','0','0','0','0','0','26','2',3500,'1','2','-6','1'
'11000024','0','0','0','0','0','0','0','27','2',3500,'1','2','-6','1'
'11000026','0','0','0','0','0','0','0','25','1',1700,'1','3','-6','1'
'11000042','0','0','0','0','0','0','0','15','1',400,'1','3','-6','1'
'11000042','0','0','0','0','0','0','0','16','2',19000,'1','3','-6','4'
'11000042','0','0','2','0','0','0','0','17','2',5400,'1','1','-6','4'
'11000042','0','0','0','0','0','0','0','22','1',200,'1','3','-6','1'
'11000042','0','0','0','0','0','0','0','30','1',200,'1','3','-6','1'
'11000046','0','0','0','0','0','0','0','17','1',1000,'1','1','-6','1'
'11000046','0','0','0','0','0','0','0','20','1',500,'1','1','-6','1'
'11000046','0','0','0','0','0','0','0','21','1',100,'1','1','-6','1'
'11000046','0','0','0','0','0','0','0','22','1',180,'1','1','-6','1'
'11000053','0','0','0','0','0','0','0','16','2',16000,'1','2','-6','4'
'11000053','0','0','2','0','0','0','0','30','2',400,'1','1','-6','1'
'11000068','0','0','2','0','0','0','0','32','1',420,'1','2','-6','1'
'11000073','0','0','0','0','0','0','0','23','2',8100,'1','3','-6','7'
'11000073','0','0','0','0','0','0','0','24','2',190,'1','3','-6','7'
'11000073','0','0','0','0','0','0','0','33','2',500,'1','3','-6','7'
'11000073','0','0','0','0','0','0','0','36','1',0,'2','-6','2','7'
'11000076','0','0','0','0','0','0','0','22','2',360,'1','3','-6','1'
'11000076','0','0','0','0','0','0','0','26','2',3600,'1','2','-6','1'
'11000076','0','0','0','0','0','0','0','27','2',3600,'1','2','-6','1'
'11000079','0','0','0','0','0','0','0','22','2',450,'1','1','-6','1'
'11000082','0','0','0','0','0','0','0','22','2',300,'1','2','-6','1'
'11000089','0','0','0','0','0','0','0','26','2',5000,'1','2','-6','5'
'11000089','0','0','0','0','0','0','0','27','2',6000,'1','2','-6','5'
'11000095','0','0','0','0','0','0','0','33','2',2000,'1','2','-6','1'
'11000095','0','0','0','0','0','0','0','36','1',200,'1','2','-6','1'
'11000117','0','0','0','0','0','0','0','30','1',500,'1','3','-6','5'
'11000120','0','0','0','0','0','0','0','15','2',3500,'2','-6','3','1'
'11000136','0','0','0','0','0','0','0','30','2',0,'1','2','-6','7'
'11000149','0','0','0','0','0','0','0','16','2',300,'1','3','-6','1'
'11000149','0','0','0','0','0','0','0','26','2',700,'1','1','-6','1'
'11000149','0','0','0','0','0','0','0','29','1',50,'1','3','-6','1'
'11000161','0','0','0','0','0','0','0','25','2',3000,'1','2','-6','1'
'11000164','0','0','0','0','0','0','0','26','2',4000,'1','2','-6','6'
'11000164','0','0','0','0','0','0','0','30','2',130,'1','2','-6','1'
'11000168','0','0','0','0','0','0','0','25','1',200,'2','-6','3','1'
'11000170','0','0','0','0','0','0','0','31','1',1500,'1','1','-6','1'
'11000180','0','0','0','0','0','0','0','16','1',1200,'2','-6','3','1'
'11000182','0','0','0','0','0','0','0','15','1',700,'1','1','-6','1'
'11000182','0','0','0','0','0','0','0','27','1',100,'1','3','-6','1'
'11000184','0','0','0','0','0','0','0','22','2',80,'1','3','-6','1'
'11000184','0','0','0','0','0','0','0','23','1',80,'1','1','-6','1'
'11000184','0','0','0','0','0','0','0','29','2',1100,'1','1','-6','1'
'11000184','0','0','0','0','0','0','0','30','2',450,'1','1','-6','1'
'11000203','0','0','0','0','0','0','0','07','1',1000,'1','3','-6','1'
'11000203','0','0','0','0','0','0','0','08','1',1200,'1','3','-6','1'
'11000203','0','0','0','0','0','0','0','10','1',300,'1','1','-6','1'
'11000203','0','0','0','0','0','0','0','11','1',1000,'1','1','-6','1'
'11000203','0','0','0','0','0','0','0','12','2',2500,'1','1','-6','5'
'11000203','0','0','0','0','0','0','0','20','2',3200,'1','2','-6','5'
'11000203','0','0','0','0','0','0','0','24','1',600,'1','2','-6','1'
'11000203','0','0','0','0','0','0','0','34','1',400,'1','3','-6','1'
'11000203','0','0','0','0','0','0','0','36','1',300,'1','3','-6','1'
'11000218','0','0','0','0','0','0','0','26','2',3000,'1','2','-6','1'
'11000224','0','0','0','0','0','0','0','13','1',500,'1','2','-6','1'
'11000224','0','0','0','0','0','0','0','22','1',200,'1','2','-6','1'
'11000224','0','0','0','0','0','0','0','25','1',500,'1','2','-6','1'
'11000224','0','0','0','0','0','0','0','30','1',3200,'1','2','-6','1'
'11000224','0','0','0','0','0','0','0','35','1',1000,'1','2','-6','1'
'11000231','0','0','0','0','0','0','0','16','1',1800,'1','2','-6','1'
'11000234','0','0','0','0','0','0','0','29','2',900,'1','1','-6','1'
'11000251','0','0','2','0','0','0','0','12','2',28300,'1','3','-6','5'
'11000251','0','0','2','0','0','0','0','22','2',3200,'1','3','-6','5'
'11000251','0','0','2','0','0','0','0','29','2',5200,'1','3','-6','5'
'11000252','0','0','0','0','0','0','0','16','2',3000,'1','3','-6','4'
'11000254','0','0','0','0','0','0','0','18','2',16400,'1','3','-6','6'
'11000254','0','0','0','0','0','0','0','25','1',750,'1','3','-6','1'
'11000254','0','0','2','0','0','0','0','29','2',1000,'1','3','-6','7'
'11000254','0','0','0','0','0','0','0','36','1',1000,'1','3','-6','1'
'11000262','0','0','0','0','0','0','0','25','2',1000,'1','2','-6','7'
'11000262','0','0','0','0','0','0','0','30','2',1000,'1','3','-6','1'
'11000266','0','0','0','0','0','0','0','12','2',8000,'1','3','-6','1'
'11000266','0','0','0','0','0','0','0','33','2',2000,'1','2','-6','1'
'11000266','0','0','0','0','0','0','0','36','2',1500,'1','2','-6','1'
'11000267','0','0','0','0','0','0','0','32','1',10,'1','1','-6','1'
'11000268','0','0','0','0','0','0','0','22','1',250,'1','3','-6','1'
'11000268','0','0','0','0','0','0','0','24','2',0,'1','1','-6','1'
'11000268','0','0','0','0','0','0','0','25','1',1400,'1','3','-6','1'
'11000271','0','0','0','0','0','0','0','26','2',7800,'1','1','-6','1'
'11000271','0','0','0','0','0','0','0','32','2',11000,'1','2','-6','1'
'11000272','0','0','2','0','0','0','0','25','2',1400,'1','-9','-6','1'
'11000273','0','0','0','0','0','0','0','02','1',1000,'1','1','-6','1'
'11000287','0','0','0','0','0','0','0','33','2',80,'1','2','-6','1'
'11000287','0','0','0','0','0','0','0','36','2',1400,'1','2','-6','1'
'11000293','0','0','0','0','0','0','0','36','2',1500,'1','1','-6','1'
'11000306','0','0','0','0','0','0','0','13','2',8000,'1','1','-6','1'
'11000306','0','0','0','0','0','0','0','18','2',6000,'1','1','-6','1'
'11000306','0','0','0','0','0','0','0','29','2',800,'1','1','-6','1'
'11000312','0','0','0','0','0','0','0','16','1',10000,'1','3','-6','3'
'11000314','0','0','0','0','0','0','0','22','2',2000,'1','3','-6','1'
'11000314','0','0','0','0','0','0','0','29','2',900,'1','2','-6','1'
'11000329','0','0','0','0','0','0','0','22','1',400,'1','3','-6','1'
'11000329','0','0','0','0','0','0','0','33','2',18900,'1','1','-6','1'
'11000344','0','0','0','0','0','0','0','16','2',6000,'1','3','-6','7'
'11000344','0','0','0','0','0','0','0','18','2',4000,'1','3','-6','7'
'11000344','0','0','0','0','0','0','0','25','1',4000,'1','3','-6','7'
'11000344','0','0','0','0','0','0','0','26','2',3800,'1','3','-6','7'
'11000350','0','0','0','0','0','0','0','33','1',1000,'1','3','-6','1'
'11000368','0','0','0','0','0','0','0','37','1',2000,'1','2','-6','1'
'11000373','0','0','0','0','0','0','0','29','2',1000,'1','2','-6','1'
'11000377','0','0','0','0','0','0','0','29','1',700,'1','3','-6','1'
'11000380','0','0','0','0','0','0','0','35','2',3000,'1','2','-6','4'
'11000392','0','0','2','0','0','0','0','30','1',430,'1','3','-6','1'
'11000399','0','0','0','0','0','0','0','13','2',11600,'2','-6','2','5'
'11000399','0','0','0','0','0','0','0','18','2',1000,'1','1','-6','5'
'11000399','0','0','0','0','0','0','0','21','2',400,'1','3','-6','1'
'11000399','0','0','0','0','0','0','0','22','1',60,'1','2','-6','1'
'11000399','0','0','0','0','0','0','0','25','1',1000,'1','3','-6','1'
'11000399','0','0','0','0','0','0','0','30','2',950,'1','3','-6','1'
'11000399','0','0','0','0','0','0','0','33','2',3000,'1','2','-6','1'
'11000399','0','0','0','0','0','0','0','31','2',950,'2','-6','3','1'
'11000399','0','0','0','0','0','0','0','31','1',500,'1','1','-6','1'
'11000399','0','0','0','0','0','0','0','37','2',1200,'1','3','-6','1'
'11000401','0','0','0','0','0','0','0','24','1',200,'1','2','-6','5'
'11000401','0','0','0','0','0','0','0','30','2',150,'1','3','-6','5'
'11000401','0','0','2','0','0','0','0','32','2',3000,'1','3','-6','5'
'11000401','0','0','0','0','0','0','0','36','1',150,'1','3','-6','5'
'11000402','0','0','0','0','0','0','0','25','2',1000,'1','3','-6','1'
'11000417','0','0','0','0','0','0','0','24','2',1200,'1','2','-6','1'
'11000419','0','0','0','0','0','0','0','16','2',4000,'1','1','-6','3'
'11000419','0','0','0','0','0','0','0','29','2',120,'1','1','-6','3'
'11000423','0','0','2','0','0','0','0','25','2',2400,'1','3','-6','4'
'11000423','0','0','2','0','0','0','0','29','2',800,'1','1','-6','1'
'11000423','0','0','2','0','0','0','0','04','2',8000,'1','3','-6','4'
'11000433','0','0','2','0','0','0','0','12','2',3100,'1','3','-6','5'
'11000433','0','0','0','0','0','0','0','23','2',300,'1','3','-6','5'
'11000433','0','0','0','0','0','0','0','29','2',1000,'1','2','-6','5'
'11000433','0','0','2','0','0','0','0','05','2',5200,'1','3','-6','5'
'11000436','0','0','2','0','0','0','0','24','2',350,'1','3','-6','1'
'11000436','0','0','2','0','0','0','0','30','2',440,'1','3','-6','1'
'11000440','0','0','0','0','0','0','0','12','2',3500,'2','-6','3','1'
'11000440','0','0','0','0','0','0','0','29','2',300,'1','3','-6','1'
'11000454','0','0','2','0','0','0','0','16','1',3000,'1','1','-6','1'
'11000454','0','0','0','0','0','0','0','24','1',200,'1','3','-6','1'
'11000456','0','0','0','0','0','0','0','22','1',180,'1','2','-6','1'
'11000456','0','0','0','0','0','0','0','29','1',530,'1','3','-6','1'
'11000472','0','0','0','0','0','0','0','24','2',0,'1','1','-6','7'
'11000472','0','0','0','0','0','0','0','30','2',0,'1','1','-6','7'
'11000488','0','0','0','0','0','0','0','12','1',5500,'1','2','-6','1'
'11000488','0','0','0','0','0','0','0','35','1',850,'1','2','-6','1'
'11000490','0','0','0','0','0','0','0','14','2',2000,'1','2','-6','1'
'11000490','0','0','0','0','0','0','0','18','1',1500,'1','3','-6','7'
'11000490','0','0','0','0','0','0','0','29','1',500,'1','1','-6','7'
'11000495','0','0','2','0','0','0','0','24','2',240,'1','2','-6','1'
'11000502','0','0','0','0','0','0','0','16','2',7000,'1','3','-6','1'
